"Zip Code","Population 2016","Population 2010","Population 2000","Land Area","Foreign Born Population","Median Household Income","Median Home Price","Median Resident Age","White Population","Hispanic/Latino Population","Black Population","Asian Population","American Indian Population","High School Diploma","Bachelor's Degree","Graduate Degree","Male Percent","Female Percent","Average Household Size"
"95613","0","0","0","0.1","0.0400","0","0","42.3","0","0","0","0","0","0.0","0.0","0.0","0.4770","0.5230","2.6"
"95614","4379","3833","3658","35.5","0.0420","103037","358500","43.8","3421","222","9","35","32","0.9890","0.3500","0.1660","0.5250","0.4750","2.9"
"95619","5147","4842","4414","6.0","0.0470","67510","273814","46.0","3851","706","22","33","56","0.8500","0.2080","0.0410","0.5220","0.4780","2.6"
"95623","3967","3806","4096","52.3","0.0320","60975","326868","46.1","3251","352","11","51","36","0.9260","0.2140","0.0640","0.4850","0.5150","2.7"
"95633","3661","3349","2518","41.2","0.0300","76143","331419","51.9","2941","239","7","19","41","0.9070","0.1370","0.0490","0.5030","0.4970","3.0"
"95634","3251","3232","2709","81.1","0.0210","51640","279364","44.6","2799","214","50","24","54","0.9200","0.1030","0.0550","0.5690","0.4310","2.7"
"95635","873","1262","1136","20.3","0.0270","39003","300563","56.5","1062","113","18","16","15","0.8720","0.1330","0.0540","0.5330","0.4670","2.0"
"95636","858","1101","647","115.9","0.0000","46231","185244","46.3","919","101","5","7","14","0.9220","0.2780","0.0460","0.4670","0.5330","2.6"
"95651","622","637","483","11.6","0.0220","79492","633202","54.7","571","35","2","6","3","0.9780","0.3220","0.0820","0.5200","0.4800","2.3"
"95656","0","0","0","0","0.0","0","0","0.0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0"
"95664","1376","1380","1156","37.7","0.0100","72209","470601","45.3","1225","91","9","6","6","0.9830","0.2450","0.0520","0.5940","0.4060","2.8"
"95667","37387","36726","34138","173.2","0.0640","58931","364272","49.7","30603","4082","156","368","470","0.9230","0.2820","0.1070","0.4770","0.5230","2.5"
"95672","5081","4773","3803","22.6","0.0770","100312","459946","49.8","4050","369","38","136","31","0.9400","0.3630","0.1200","0.4470","0.5530","3.0"
"95682","30463","29114","24721","81.2","0.0730","81228","441632","45.1","24328","2890","168","554","294","0.9470","0.3340","0.1050","0.5040","0.4960","2.7"
"95684","3047","3422","2951","145.4","0.0940","66189","295347","54.3","2949","268","15","32","36","0.8930","0.2050","0.0650","0.5290","0.4710","2.4"
"95709","5169","4772","4825","22.3","0.0450","70189","359277","48.8","3984","584","6","42","36","0.9490","0.2630","0.1110","0.5160","0.4840","2.8"
"95720","49","157","167","121.1","0.0410","48169","242848","60.9","115","13","1","6","2","0.8710","0.1350","0.1130","0.5510","0.4490","1.8"
"95721","13","37","60","12.5","0.0000","0","0","0.0","35","2","0","0","0","1.0340","1.0340","1.0340","1.0000","0.0000","0.0"
"95726","8942","8842","8567","74.3","0.0440","60310","288465","46.0","7728","669","21","69","135","0.9180","0.3080","0.1530","0.4650","0.5350","2.6"
"95735","27","68","14","21.7","0.1160","0","693692","25.4","63","3","0","0","0","1.0100","0.4430","0.4430","0.5560","0.4440","3.9"
"95762","41073","38797","22021","41.3","0.1530","131581","607009","43.4","29618","3550","567","3424","133","0.9830","0.5600","0.2180","0.5000","0.5000","3.0"
"96142","776","1037","1282","20.2","0.0560","46263","492133","41.0","946","39","6","11","7","0.8840","0.3420","0.0930","0.4490","0.5510","2.5"
"96150","29416","29792","33024","123.6","0.1630","53532","407669","40.2","20175","7309","189","1304","152","0.8810","0.2840","0.0950","0.5180","0.4820","2.5"
"96151","0","0","0","0","0.0","0","0","0.0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0"
"96152","0","0","0","0","0.0","0","0","0.0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0"
"96154","0","0","0","0","0.0","0","0","0.0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0"
"96155","0","0","0","37.0","0.2680","0","0","51.4","0","0","0","0","0","0.0000","0.0000","0.0000","0.5090","0.4910","2.0"
"96156","0","0","0","0","0.0","0","0","0.0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0"
"96157","0","0","0","0","0.0","0","0","0.0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0"
"96158","0","0","0","0","0.0","0","0","0.0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0"
