"Zip Code","Population 2016","Population 2010","Population 2000","Land Area","Foreign Born Population","Median Household Income","Median Home Price","Median Resident Age","White Population","Hispanic/Latino Population","Black Population","Asian Population","American Indian Population","High School Diploma","Bachelor's Degree","Graduate Degree","Male Percent","Female Percent","Average Household Size"
"87010","1,267","1,139","1,021","163.4","5.2%","$49,087","$277,477","53.9","890","186","12","8","10","93.6%","52.8%","20.2%","55.1%","44.9%","2.2"
"87015","12,604","13,105","10,356","150.3","2.4%","$59,760","$208,219","46.8","9,376","3,100","105","81","195","94.1%","34.2%","14.0%","48.8%","51.2%","2.6"
"87056","967","954","947","488.2","5.4%","$53,408","$312,883","52.7","668","258","0","9","8","90.3%","37.0%","16.9%","50.9%","49.1%","2.3"
"87501","16,066","15,147","40,414","79.8","8.1%","$61,591","$428,535","54.9","9,707","4,728","114","194","143","96.5%","58.2%","30.4%","45.0%","55.0%","1.9"
"87502","","","","","","","","","","","","","","","","","","",""
"87503","","","","","","","","","","","","","","","","","","",""
"87504","","","","","","","","","","","","","","","","","","",""
"87505","30,781","31,013","69,658","69.2","9.6%","$58,401","$344,959","50.7","16,436","12,936","229","403","428","92.9%","51.2%","26.4%","47.2%","52.8%","2.1"
"87506","13,540","","","197.6","6.8%","$71,853","$428,868","51.2","","","","","","92.2%","47.8%","26.9%","50.6%","49.4%","2.3"
"87507","47,999","","","82.8","21.6%","$49,146","$229,196","35.6","","","","","","80.5%","27.5%","12.2%","48.9%","51.1%","2.7"
"87508","20,400","","","147.7","10.6%","$75,223","$402,342","48.8","","","","","","91.3%","51.4%","23.7%","50.5%","49.5%","2.4"
"87535","1,154","1,270","1,729","64.3","16.3%","$66,481","$204,334","52.2","531","708","3","3","14","78.9%","35.8%","19.1%","41.6%","58.4%","2.5"
"87540","1,015","923","634","84.9","6.9%","$70,089","$454,507","54.4","690","195","1","18","5","100.4%","67.5%","37.9%","48.4%","51.6%","2.1"
"87567","1,766","1,634","2,143","3.2","6.1%","$38,188","$168,262","35.9","143","1,456","5","6","18","74.2%","6.7%","0.4%","47.8%","52.2%","2.5"
"87574","274","","","3.0","17.3%","","","50.2","","","","","","75.2%","30.2%","8.1%","51.7%","48.3%","2.2"
"87592","","","","","","","","","","","","","","","","","","",""
"87594","","","","","","","","","","","","","","","","","","",""
