"Zip Code","Population 2016","Population 2010","Population 2000","Land Area","Foreign Born Population","Median Household Income","Median Home Price","Median Resident Age","White Population","Hispanic/Latino Population","Black Population","Asian Population","American Indian Population","High School Diploma","Bachelor's Degree","Graduate Degree","Male Percent","Female Percent","Average Household Size"
"89402","14","","","0.1","52.4%","","","","","","","","","100.1%","51.1%","0.0%","50.0%","50.0%","2.0"
"89405","20","239","417","442.6","0.0%","","","","179","46","2","0","10","98.4%","0.0%","0.0%","50.0%","50.0%","2.0"
"89412","255","","","-829.1","11.5%","$44,827","","53.2","","","","","","94.6%","19.8%","15.1%","69.9%","30.1%","1.5"
"89424","272","341","442","236.7","3.5%","$28,380","$90,679","35.6","10","14","3","0","309","78.1%","10.2%","0.0%","52.8%","47.2%","2.4"
"89431","38,240","36,189","35,994","9.7","23.7%","$41,163","$160,271","35.3","17,033","14,877","967","1,766","368","74.4%","12.5%","3.7%","49.8%","50.2%","2.7"
"89432","","","","","","","","","","","","","","","","","","",""
"89433","21,347","20,188","19,764","15.5","20.6%","$48,141","$126,197","33.5","11,193","7,507","304","360","248","70.4%","9.4%","2.3%","51.3%","48.7%","3.2"
"89434","25,969","25,416","21,710","29.9","14.1%","$56,888","$214,434","41.1","17,222","4,842","611","1,605","275","90.7%","23.8%","7.2%","46.9%","53.1%","2.5"
"89435","","","","","","","","","","","","","","","","","","",""
"89436","40,491","36,867","21,528","40.8","10.3%","$82,290","$286,356","38.9","27,622","5,082","695","2,074","294","94.0%","31.4%","10.8%","49.2%","50.8%","2.7"
"89439","1,505","1,417","1,215","14.6","4.5%","$63,604","$271,705","51.8","1,293","68","3","16","7","91.9%","32.6%","17.0%","47.5%","52.5%","2.3"
"89441","12,425","","","41.5","6.4%","$84,472","$328,089","39.6","","","","","","94.6%","25.8%","11.6%","51.5%","48.5%","2.9"
"89442","1,141","1,118","1,092","159.7","3.0%","$41,850","$113,988","35.2","308","96","3","7","680","90.0%","9.3%","2.6%","51.7%","48.3%","2.6"
"89450","188","","","0.0","0.0%","$105,306","","54.2","","","","","","101.8%","70.2%","34.5%","68.3%","31.7%","2.3"
"89451","8,699","8,930","9,601","25.3","14.1%","$80,910","$818,446","49.4","7,004","1,551","22","183","24","94.2%","57.0%","23.6%","52.2%","47.8%","2.3"
"89452","","","","","","","","","","","","","","","","","","",""
"89501","3,947","4,252","2,877","0.6","12.6%","$25,027","$298,454","51.3","3,136","451","236","240","49","86.9%","28.4%","12.2%","61.8%","38.2%","1.4"
"89502","46,279","43,566","46,101","22.3","27.5%","$37,083","$176,142","35.2","19,508","18,802","1,101","2,127","790","73.0%","16.6%","4.4%","51.7%","48.3%","2.6"
"89503","28,920","27,891","30,437","6.5","11.4%","$44,233","$222,981","31.0","20,332","3,822","682","1,708","261","90.4%","31.0%","11.8%","51.9%","48.1%","2.4"
"89504","","","","","","","","","","","","","","","","","","",""
"89505","","","","","","","","","","","","","","","","","","",""
"89506","41,644","38,379","32,983","94.5","13.4%","$57,711","$185,577","34.0","23,958","9,901","1,140","1,562","433","85.3%","17.0%","4.8%","51.8%","48.2%","3.0"
"89507","","","","","","","","","","","","","","","","","","",""
"89508","12,411","","","159.6","5.2%","$70,220","$207,109","41.4","","","","","","88.9%","17.9%","5.6%","50.4%","49.6%","2.9"
"89509","34,190","33,395","41,325","9.0","11.6%","$54,549","$363,495","44.9","25,156","5,148","584","1,382","251","92.9%","45.4%","20.0%","48.9%","51.1%","2.1"
"89510","1,708","1,685","1,444","-829.1","7.3%","$64,117","$358,056","52.1","1,253","97","12","22","252","95.7%","19.7%","4.3%","55.5%","44.5%","2.7"
"89511","26,132","25,011","28,793","149.0","9.6%","$90,095","$526,540","47.8","21,189","1,898","215","996","130","98.2%","52.6%","21.2%","50.3%","49.7%","2.4"
"89512","25,813","25,574","23,900","6.3","24.7%","$31,490","$125,309","30.1","11,043","9,852","1,368","1,813","308","73.3%","17.1%","5.9%","50.0%","50.0%","2.7"
"89513","","","","","","","","","","","","","","","","","","",""
"89515","","","","","","","","","","","","","","","","","","",""
"89519","8,199","","","7.8","8.5%","$105,801","$451,733","52.4","","","","","","99.1%","61.9%","29.4%","47.1%","52.9%","2.3"
"89520","","","","","","","","","","","","","","","","","","",""
"89521","29,815","","","76.7","12.3%","$84,524","$322,761","38.4","","","","","","96.4%","43.7%","16.2%","49.0%","51.0%","2.7"
"89523","34,723","31,373","17,231","18.8","10.7%","$68,745","$319,986","36.8","23,038","3,818","506","2,655","255","96.0%","43.9%","16.7%","48.9%","51.1%","2.5"
"89533","","","","","","","","","","","","","","","","","","",""
"89570","","","","","","","","","","","","","","","","","","",""
"89704","4,376","4,290","4,085","76.6","3.4%","$93,324","$351,730","53.7","3,898","225","19","40","30","95.5%","34.4%","11.6%","54.0%","46.0%","2.4"
