"Zip Code","Population 2016","Population 2010","Population 2000","Land Area","Foreign Born Population","Median Household Income","Median Home Price","Median Resident Age","White Population","Hispanic/Latino Population","Black Population","Asian Population","American Indian Population","High School Diploma","Bachelor's Degree","Graduate Degree","Male Percent","Female Percent","Average Household Size"
"06390","307","236","289","4.1","2.0%","$158,985","$1,673,075","51.3","225","2","2","2","0","96.1%","50.6%","33.8%","56.5%","43.5%","2.5"
"11701","28,542","27,109","26,379","4.8","25.2%","$79,770","$362,829","38.6","10,484","5,939","9,672","312","137","85.2%","25.5%","9.4%","47.2%","52.8%","3.2"
"11702","14,105","14,498","14,975","9.1","9.7%","$109,089","$477,593","44.1","12,688","1,039","256","297","12","97.1%","47.5%","21.6%","48.5%","51.5%","2.7"
"11703","16,744","16,415","16,336","3.1","13.1%","$96,667","$373,040","42.5","12,349","2,073","1,022","694","15","94.4%","27.6%","10.5%","47.9%","52.1%","3.0"
"11704","40,834","40,222","40,114","8.1","16.0%","$84,389","$371,264","40.8","28,056","5,144","5,069","1,118","59","88.4%","25.4%","8.5%","48.2%","51.8%","3.1"
"11705","7,606","8,030","8,007","3.6","5.2%","$99,555","$473,598","43.5","7,306","412","83","144","5","97.6%","47.2%","22.6%","48.9%","51.1%","2.8"
"11706","68,933","62,543","60,460","17.1","26.4%","$83,244","$345,070","34.9","26,013","24,109","8,789","2,115","157","81.9%","24.4%","9.5%","49.2%","50.8%","3.6"
"11707","","","","","","","","","","","","","","","","","","",""
"11713","9,307","10,401","9,160","5.0","14.6%","$74,051","$348,511","38.0","5,343","2,213","2,125","251","96","85.7%","31.0%","16.3%","47.9%","52.1%","2.9"
"11715","4,527","4,752","4,407","1.7","5.1%","$117,705","$423,985","44.5","4,408","203","44","45","5","97.2%","44.8%","23.5%","49.1%","50.9%","2.9"
"11716","10,141","10,700","10,360","8.7","6.5%","$83,390","$423,319","42.4","9,532","764","96","234","7","93.4%","28.2%","12.9%","51.7%","48.3%","2.8"
"11717","62,451","60,745","51,485","10.9","43.7%","$72,503","$311,773","32.9","8,554","41,600","8,354","1,101","132","70.4%","13.6%","4.1%","48.8%","51.2%","4.5"
"11718","3,136","3,103","3,061","0.9","5.2%","$124,718","$559,283","46.7","2,810","159","38","48","1","99.5%","59.0%","28.5%","49.4%","50.6%","2.8"
"11719","3,841","3,589","2,965","6.0","12.5%","$93,083","$436,749","47.2","3,080","234","209","29","2","84.4%","36.9%","17.3%","47.6%","52.4%","2.7"
"11720","29,236","29,189","28,105","8.2","11.8%","$98,099","$367,380","38.0","22,869","3,332","780","1,801","17","92.8%","33.1%","14.6%","49.9%","50.1%","3.2"
"11721","6,080","6,292","6,218","2.5","5.6%","$113,117","$640,417","46.6","5,870","216","28","118","1","99.6%","61.7%","28.6%","45.2%","54.8%","2.7"
"11722","36,179","35,177","34,491","7.3","34.1%","$70,011","$283,138","33.7","6,819","18,334","7,891","1,129","110","72.2%","17.2%","6.8%","51.9%","48.1%","3.7"
"11724","3,289","3,220","3,040","3.9","19.2%","$196,841","$1,236,881","41.8","2,979","127","14","71","0","100.6%","81.7%","41.8%","50.2%","49.8%","3.1"
"11725","29,866","29,150","29,412","9.7","10.4%","$125,759","$509,448","45.4","25,599","1,375","250","1,616","9","97.6%","51.1%","23.8%","48.4%","51.6%","3.0"
"11726","21,999","19,857","17,737","2.6","37.7%","$70,049","$322,983","35.9","8,694","7,580","2,746","439","69","74.3%","16.4%","6.2%","49.2%","50.8%","3.6"
"11727","30,716","29,030","25,603","9.1","18.9%","$81,122","$325,536","38.5","18,836","4,294","3,533","1,538","44","92.7%","34.1%","14.1%","47.6%","52.4%","2.8"
"11729","27,702","28,032","28,280","6.3","18.1%","$87,550","$387,913","40.6","18,904","3,411","3,191","1,955","37","90.7%","28.9%","11.2%","47.8%","52.2%","3.1"
"11730","14,371","14,712","16,050","7.6","3.4%","$120,792","$448,403","41.4","13,258","927","145","227","6","96.1%","43.2%","22.0%","47.3%","52.7%","3.2"
"11731","30,169","30,184","31,250","8.4","9.0%","$110,869","$510,780","44.2","26,272","1,853","310","1,410","16","96.8%","48.0%","20.0%","49.9%","50.1%","3.0"
"11733","17,381","18,949","20,382","11.8","16.4%","$149,388","$531,091","45.8","16,055","948","358","1,286","30","97.1%","62.4%","38.4%","51.0%","49.0%","2.9"
"11738","17,311","17,638","16,811","5.3","12.9%","$99,075","$375,371","40.6","14,007","2,203","441","694","24","91.2%","25.0%","10.1%","54.0%","46.0%","3.3"
