"Zip Code","Population 2016","Population 2010","Population 2000","Land Area","Foreign Born Population","Median Household Income","Median Home Price","Median Resident Age","White Population","Hispanic/Latino Population","Black Population","Asian Population","American Indian Population","High School Diploma","Bachelor's Degree","Graduate Degree","Male Percent","Female Percent","Average Household Size"
"79329","3,337","3,300","3,091","93.7","4.5%","$70,149","$140,514","37.3","1,898","1,329","34","8","1","84.3%","26.0%","6.9%","57.0%","43.0%","2.9"
"79350","349","392","565","1.4","1.4%","$43,042","$82,910","27.7","234","148","6","0","0","72.5%","6.1%","1.1%","56.2%","43.8%","3.0"
"79363","5,590","5,369","4,795","115.7","2.7%","$68,951","$130,081","34.4","3,960","1,306","37","9","16","92.2%","27.7%","10.7%","46.8%","53.2%","3.0"
"79364","7,879","8,172","8,170","197.2","3.4%","$44,719","$79,691","39.5","4,054","3,608","381","18","29","80.8%","21.8%","4.7%","46.5%","53.5%","2.4"
"79366","1,344","1,096","1,459","0.8","5.7%","$99,429","$236,521","46.2","991","78","10","10","0","98.6%","56.4%","20.0%","47.6%","52.4%","2.5"
"79382","6,786","6,291","4,718","47.7","3.5%","$70,734","$164,710","33.8","4,576","1,447","123","48","33","88.4%","32.2%","14.0%","51.9%","48.1%","3.0"
"79401","7,825","8,408","10,936","2.8","11.9%","$17,171","$75,474","22.2","4,586","2,479","787","415","39","80.9%","27.3%","14.0%","55.2%","44.8%","2.4"
"79402","","","","","","","","","","","","","","","","","","",""
"79403","17,619","16,869","15,265","132.0","5.6%","$40,324","$57,937","33.0","4,532","7,116","4,940","36","75","68.1%","8.4%","2.0%","51.0%","49.0%","3.1"
"79404","10,877","11,289","10,230","28.8","5.7%","$33,508","$58,270","35.3","2,318","6,190","2,601","19","22","66.6%","9.0%","3.0%","50.5%","49.5%","3.1"
"79406","6,969","6,025","4,470","1.0","5.0%","","","19.4","4,328","980","418","144","41","100.8%","60.4%","0.0%","54.8%","45.2%",""
"79407","19,583","19,068","17,262","70.8","3.8%","$45,224","$109,770","31.8","11,962","5,474","933","329","86","90.7%","29.2%","10.8%","47.2%","52.8%","2.3"
"79408","","","","","","","","","","","","","","","","","","",""
"79409","","","","","","","","","","","","","","","","","","",""
"79410","9,660","9,429","9,687","2.4","3.8%","$39,747","$137,740","26.1","6,579","2,077","451","125","51","91.1%","40.4%","22.1%","53.8%","46.2%","2.4"
"79411","8,789","7,951","5,307","1.5","10.6%","$31,208","$62,155","25.6","2,620","4,554","607","43","30","69.5%","19.2%","6.5%","50.5%","49.5%","2.6"
"79412","16,862","15,650","15,034","3.1","7.5%","$33,701","$84,020","29.2","4,896","8,639","1,836","57","60","67.7%","9.0%","2.5%","46.4%","53.6%","3.1"
"79413","22,023","21,187","20,533","4.8","3.7%","$49,114","$139,515","34.2","13,903","5,561","1,168","244","78","88.6%","32.6%","11.5%","46.5%","53.5%","2.5"
"79414","18,872","17,121","16,737","3.2","4.9%","$39,130","$95,119","30.2","9,435","5,975","1,034","302","73","84.2%","23.0%","9.4%","48.5%","51.5%","2.3"
"79415","17,894","17,689","16,241","66.2","11.2%","$31,102","$65,596","27.7","5,304","10,283","941","909","36","68.8%","16.1%","5.8%","49.9%","50.1%","2.8"
"79416","34,341","32,296","23,690","32.1","7.0%","$48,807","$127,528","27.5","20,478","8,371","1,718","1,133","109","90.4%","32.0%","13.9%","49.4%","50.6%","2.6"
"79423","36,985","32,277","23,992","60.5","3.4%","$63,458","$144,288","34.4","22,104","7,969","1,224","517","109","93.6%","35.8%","11.6%","48.9%","51.1%","2.6"
"79424","45,430","39,023","27,093","41.7","5.8%","$79,849","$196,898","36.3","31,207","5,273","687","1,283","143","95.7%","43.8%","17.0%","49.3%","50.7%","2.5"
"79430","","","","","","","","","","","","","","","","","","",""
"79452","","","","","","","","","","","","","","","","","","",""
"79453","","","","","","","","","","","","","","","","","","",""
"79457","","","","","","","","","","","","","","","","","","",""
"79464","","","","","","","","","","","","","","","","","","",""
"79490","","","","","","","","","","","","","","","","","","",""
"79491","","","","","","","","","","","","","","","","","","",""
"79493","","","","","","","","","","","","","","","","","","",""
"79499","","","","","","","","","","","","","","","","","","",""
