"Zip Code","Population 2016","Population 2010","Population 2000","Land Area","Foreign Born Population","Median Household Income","Median Home Price","Median Resident Age","White Population","Hispanic/Latino Population","Black Population","Asian Population","American Indian Population","High School Diploma","Bachelor's Degree","Graduate Degree","Male Percent","Female Percent"
"77301","31,894","30,769","24,812","18.9","28.2%","$39,846","$114,764","32.5","9,841","16,754","3,464","299","70","63.9%","12.5%","3.5%","50.4%","49.6%"
"77302","19,385","18,118","12,370","57.7","12.1%","$64,346","$149,949","37.1","13,197","4,059","362","194","66","82.9%","18.3%","6.0%","49.3%","50.7%"
"77303","19,634","16,710","11,354","61.8","12.9%","$50,208","$122,534","34.4","11,429","4,217","680","144","49","75.4%","12.3%","2.4%","47.7%","52.3%"
"77304","28,471","21,314","15,690","37.8","10.2%","$60,081","$201,004","36.5","15,621","3,378","1,439","485","97","88.1%","36.1%","14.0%","50.7%","49.3%"
"77305","","","","","","","","","","","","","","","","","",""
"77306","11,840","11,931","8,283","41.1","18.3%","$40,578","$83,909","33.4","6,928","4,689","108","52","47","67.8%","5.1%","0.1%","47.0%","53.0%"
"77316","19,644","16,036","9,050","126.2","7.6%","$88,658","$267,377","39.3","13,480","1,668","429","139","91","88.9%","31.8%","9.5%","49.2%","50.8%"
"77318","15,513","14,281","9,884","38.4","5.2%","$64,501","$209,884","44.9","11,858","1,512","528","98","77","91.3%","28.1%","9.2%","49.7%","50.3%"
"77333","","","","5.8","8.4%","","","39.2","","","","","","","","","52.8%","47.2%"
"77353","","","","","","","","","","","","","","","","","",""
"77354","35,525","30,215","16,182","75.9","9.2%","$88,431","$253,170","37.8","23,300","5,351","748","290","137","88.8%","30.6%","9.8%","49.5%","50.5%"
"77355","26,895","24,010","14,304","57.0","7.2%","$81,162","$209,884","40.5","19,153","3,993","329","115","120","87.7%","28.9%","8.1%","49.1%","50.9%"
"77356","25,823","24,498","14,470","130.1","3.8%","$77,165","$263,603","51.1","21,363","1,699","767","245","100","96.3%","40.3%","11.9%","48.1%","51.9%"
"77357","23,827","19,987","17,189","62.8","16.4%","$47,822","$105,330","31.5","14,129","5,000","393","94","105","69.9%","9.5%","2.7%","51.2%","48.8%"
"77362","4,777","4,600","3,144","8.1","8.3%","$61,088","$160,049","33.3","3,293","1,138","77","25","16","87.3%","22.5%","4.2%","55.7%","44.3%"
"77365","31,083","25,769","15,982","35.5","14.9%","$70,739","$180,915","35.8","16,078","8,212","690","305","130","80.1%","20.5%","8.3%","50.8%","49.2%"
"77372","12,279","12,164","10,035","51.9","9.1%","$48,673","$89,126","38.8","9,918","1,883","101","49","60","73.9%","7.1%","1.3%","48.9%","51.1%"
"77378","15,175","14,685","10,489","97.2","15.4%","$49,052","$106,773","33.0","8,512","4,593","1,267","36","50","79.6%","13.9%","3.5%","51.4%","48.6%"
"77380","27,338","23,136","19,320","12.4","16.4%","$71,443","$220,428","35.4","16,653","3,949","1,082","946","65","95.0%","48.9%","21.0%","51.0%","49.0%"
"77381","37,541","34,961","35,952","13.1","12.4%","$106,781","$358,278","43.4","28,742","3,509","757","1,263","108","99.4%","62.0%","24.2%","48.4%","51.6%"
"77382","38,685","35,369","14,107","11.3","20.1%","$142,639","$418,879","39.5","27,364","4,605","703","1,977","77","99.1%","67.5%","25.3%","47.7%","52.3%"
"77384","15,824","11,857","3,853","17.5","13.0%","$82,161","$298,676","40.1","9,530","1,255","357","477","63","95.6%","47.8%","17.5%","46.9%","53.1%"
"77385","23,352","19,534","9,796","21.8","13.3%","$94,498","$210,883","33.9","13,609","3,911","1,033","578","82","88.2%","33.4%","11.0%","52.1%","47.9%"
"77386","50,785","36,407","13,706","40.3","10.2%","$97,352","$216,543","32.5","24,325","7,505","2,589","1,095","138","94.8%","43.5%","12.3%","49.0%","51.0%"
"77387","","","","","","","","","","","","","","","","","",""
"77393","","","","","","","","","","","","","","","","","",""
