"Zip Code","Population 2016","Population 2010","Population 2000","Land Area","Foreign Born Population","Median Household Income","Median Home Price","Median Resident Age","White Population","Hispanic/Latino Population","Black Population","Asian Population","American Indian Population","High School Diploma","Bachelor's Degree","Graduate Degree","Male Percent","Female Percent","Average Household Size"
"79012","1,408","976","465","66.6","2.4%","$121,692","$274,147","30.8","867","73","9","6","9","101.1%","32.6%","0.0%","54.4%","45.6%","2.9"
"79101","2,406","2,817","2,998","1.6","11.2%","$24,922","$85,907","49.3","1,810","666","246","17","28","83.1%","19.6%","6.0%","44.7%","55.3%","1.8"
"79102","10,078","9,963","9,520","2.7","18.9%","$44,354","$105,108","31.1","5,203","3,535","496","534","44","78.0%","19.4%","5.4%","50.0%","50.0%","2.4"
"79103","11,363","10,594","9,966","5.1","13.5%","$45,575","$93,343","33.4","4,216","5,865","281","60","38","77.2%","7.8%","1.1%","50.7%","49.3%","2.9"
"79104","6,964","7,869","7,516","3.8","25.7%","$35,767","$67,482","33.3","1,934","5,581","185","66","42","57.2%","2.6%","0.9%","51.8%","48.2%","2.9"
"79105","","","","17.1","36.8%","","","25.2","","","","","","0.0%","0.0%","0.0%","57.1%","42.9%","3.8"
"79106","28,766","27,967","27,887","9.4","7.3%","$42,668","$123,422","34.7","18,963","6,266","1,698","359","171","86.1%","23.2%","7.5%","48.0%","52.0%","2.4"
"79107","35,375","33,844","36,444","16.8","26.8%","$35,092","$69,924","27.7","7,022","16,832","6,081","3,197","113","62.4%","5.6%","1.6%","49.3%","50.7%","3.2"
"79108","16,533","17,726","11,876","165.4","6.3%","$48,729","$114,099","42.4","11,218","3,739","2,349","105","96","78.1%","10.3%","1.9%","65.8%","34.2%","2.6"
"79111","1,983","1,808","1,739","10.9","2.7%","$64,233","","29.6","1,316","332","102","13","13","85.2%","11.6%","5.1%","57.6%","42.4%","3.1"
"79116","","","","","","","","","","","","","","","","","","",""
"79117","","","","","","","","","","","","","","","","","","",""
"79120","","","","","","","","","","","","","","","","","","",""
"79124","8,906","7,819","5,034","90.1","5.9%","$94,196","$249,840","38.7","6,630","593","188","278","45","97.1%","41.0%","15.6%","49.6%","50.4%","2.8"
"79159","","","","","","","","","","","","","","","","","","",""
"79166","","","","","","","","","","","","","","","","","","",""
"79168","","","","","","","","","","","","","","","","","","",""
"79172","","","","","","","","","","","","","","","","","","",""
"79174","","","","","","","","","","","","","","","","","","",""
"79178","","","","","","","","","","","","","","","","","","",""
"79185","","","","","","","","","","","","","","","","","","",""
"79189","","","","","","","","","","","","","","","","","","",""
